'cbsa','cbsa_name','cbsa_state','zcta5','zcta5_name'
'10180','Abilene, TX','TX','76437','Cisco, TX'
'10180','Abilene, TX','TX','76443','Cross Plains, TX'
'10180','Abilene, TX','TX','76464','Moran, TX'
'10180','Abilene, TX','TX','76469','Putnam, TX'
'10180','Abilene, TX','TX','79501','Anson, TX'
'10180','Abilene, TX','TX','79503','Avoca, TX'
'10180','Abilene, TX','TX','79504','Baird, TX'
'10180','Abilene, TX','TX','79508','Buffalo Gap, TX'
'10180','Abilene, TX','TX','79510','Clyde, TX'
'10180','Abilene, TX','TX','79520','Hamlin, TX'
'10180','Abilene, TX','TX','79525','Hawley, TX'
'10180','Abilene, TX','TX','79530','Lawn, TX'
'10180','Abilene, TX','TX','79533','Lueders, TX'
'10180','Abilene, TX','TX','79536','Merkel, TX'
'10180','Abilene, TX','TX','79541','Ovalo, TX'
'10180','Abilene, TX','TX','79553','Stamford, TX'
'10180','Abilene, TX','TX','79560','Sylvester, TX'
'10180','Abilene, TX','TX','79561','Trent, TX'
'10180','Abilene, TX','TX','79562','Tuscola, TX'
'10180','Abilene, TX','TX','79563','Tye, TX'
'10180','Abilene, TX','TX','79566','Wingate, TX'
'10180','Abilene, TX','TX','79567','Winters, TX'
'10180','Abilene, TX','TX','79601','Abilene, TX'
'10180','Abilene, TX','TX','79602','Abilene, TX'
'10180','Abilene, TX','TX','79603','Abilene, TX'
'10180','Abilene, TX','TX','79605','Abilene, TX'
'10180','Abilene, TX','TX','79606','Abilene, TX'
'10180','Abilene, TX','TX','79607','Abilene, TX'
'10180','Abilene, TX','TX','79699','Abilene, TX'
'10420','Akron, OH','TX','44056','Macedonia, OH'
'10420','Akron, OH','OH','44067','Northfield, OH'
'10420','Akron, OH','OH','44087','Twinsburg, OH'
'10420','Akron, OH','OH','44141','Brecksville, OH'
'10420','Akron, OH','OH','44201','Atwater, OH'
'10420','Akron, OH','OH','44202','Aurora, OH'
'10420','Akron, OH','OH','44203','Barberton, OH'
'10420','Akron, OH','OH','44216','New Franklin, OH'
'10420','Akron, OH','OH','44221','Cuyahoga Falls, OH'
'10420','Akron, OH','OH','44223','Cuyahoga Falls, OH'
'10420','Akron, OH','OH','44224','Stow, OH'
'10420','Akron, OH','OH','44231','Garrettsville, OH'
'10420','Akron, OH','OH','44234','Hiram, OH'
'10420','Akron, OH','OH','44236','Hudson, OH'
'10420','Akron, OH','OH','44240','Kent, OH'
'10420','Akron, OH','OH','44241','Streetsboro, OH'
'10420','Akron, OH','OH','44243','Kent, OH'
'10420','Akron, OH','OH','44250','Lakemore, OH'
'10420','Akron, OH','OH','44255','Mantua, OH'
'10420','Akron, OH','OH','44256','Medina, OH'
'10420','Akron, OH','OH','44260','Mogadore, OH'
'10420','Akron, OH','OH','44262','Munroe Falls, OH'
'10420','Akron, OH','OH','44264','Cuyahoga Falls, OH'
'10420','Akron, OH','OH','44265','Randolph, OH (PO Boxes)'
'10420','Akron, OH','OH','44266','Ravenna, OH'
'10420','Akron, OH','OH','44272','Rootstown, OH'
'10420','Akron, OH','OH','44278','Tallmadge, OH'
'10420','Akron, OH','OH','44281','Wadsworth, OH'
'10420','Akron, OH','OH','44285','Wayland, OH (PO Boxes)'
