id,title,year,mpaa_rating,rating_sex_nudity,rating_violence_gore,rating_language
1,Abandon,2002,PG-13,4,4,4
2,Abduction,2011,PG-13,4,5,5
3,Abominable,2019,PG,1,2,1
4,About A Boy,2002,PG-13,3,3,5
5,About Last Night,2014,R,7,2,10
6,About Schmidt,2002,R,6,3,5
7,About Time,2013,R,6,4,5
8,Above the Rim,1994,R,0,6,9
9,"Abraham Lincoln, Vampire Hunter",2012,R,5,8,5
10,Absolutely Fabulous: The Movie,2016,R,5,4,6
11,Absolute Power,1997,R,5,7,5
12,"Abyss, The",1989,PG-13,4,5,5
13,Accepted,2006,PG-13,4,3,5
14,"Accountant, The",2016,R,1,7,7
15,Ace Ventura: Pet Detective,1994,PG-13,4,4,4
16,Ace Ventura: When Nature Calls,1995,PG-13,3,4,1
17,A.C.O.D.,2013,R,6,2,5
18,Across the Universe,2007,PG-13,7,5,5
19,Action Point,2018,R,6,6,7
20,Act of Valor,2012,R,2,8,6
21,Adam,2009,PG-13,5,4,5
22,Adaptation,2002,R,6,6,8
23,Ad Astra,2019,PG-13,1,6,5
24,"Addams Family, The",2019,PG,2,3,1
25,"Addams Family 2, The",2021,PG,2,3,1
26,Addams Family Values,1993,PG-13,2,4,1
27,Addicted to Love,1997,R,4,3,4
28,"Adjustment Bureau, The",2011,PG-13,5,5,5
29,Admission,2013,PG-13,4,3,5
30,Adrift,2018,PG-13,5,5,5
31,Adult Beginners,2015,R,4,2,9
32,Adventureland,2009,R,7,4,10
33,"Adventures of Elmo In Grouchland, The",1999,G,0,1,0
34,"Adventures of Huck Finn, The",1993,PG,0,5,2
35,"Adventures of Ociee Nash, The",2004,G,0,2,1
36,"Adventures of Pinocchio, The",1996,G,0,2,0
37,"Adventures of Pluto Nash, The",2002,PG-13,3,4,4
38,"Adventures of Rocky and Bullwinkle, The",2000,PG,2,4,2
39,"Adventures of Shark Boy & Lava Girl in 3-D, The",2005,PG,2,4,1
40,"Adventures of the Great Mouse Detective, The",1992,G,0,1,0
41,"Adventures of Tintin, The",2011,PG,1,5,3
42,Aeon Flux,2005,PG-13,5,7,0
43,"Aeronauts, The",2019,PG-13,1,4,1
44,Affliction,1998,R,2,8,8
45,African Cats,2011,G,0,5,1
46,After Earth,2013,PG-13,1,6,1
47,Aftermath,2017,R,5,5,5
48,Afternoon Delight,2013,R,9,2,9
49,After the Sunset,2004,PG-13,7,4,5
50,After We Fell,2021,R,7,4,8
51,Against the Ropes,2004,PG-13,5,5,4
52,Agent Cody Banks,2003,PG,3,4,3
53,Agent Cody Banks 2: Destination London,2004,PG,2,4,3
54,"Age of Adaline, The",2015,PG-13,4,4,3
55,"Age of Innocence, The",1993,PG,2,0,1
56,A.I.: Artificial Intelligence,2001,PG-13,4,5,2
57,Ain’t Them Bodies Saints,2013,R,4,7,5
58,Airborne,1993,PG,3,2,0
59,Air Bud,1997,PG,1,2,1
60,Air Bud: Golden Receiver,1998,G,0,2,1
61,Air Force One,1997,R,1,8,6
62,Airheads,1994,PG-13,3,3,3
63,"Air Up There, The",1994,PG,1,4,3
64,Akeelah and the Bee,2006,PG,1,2,3
65,Aladdin,1992,G,1,3,0
66,Aladdin,2019,PG,2,3,1
67,"Alamo, The",2004,PG-13,2,6,3
68,"Alan Smithee Film: Burn Hollywood Burn, An",1998,R,5,3,10
69,Alaska,1996,PG,0,3,2
70,Albatross,2012,NR,8,3,10
71,Albert Nobbs,2011,R,6,3,5
72,Alex and Emma,2003,PG-13,6,3,3
73,Alexander,2004,R,9,9,2
74,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,G,3,4,3
75,Alex Cross,2012,PG-13,5,7,5
76,Alfie,2004,R,7,3,5
77,Ali,2001,R,4,6,5
78,Alice in Wonderland,2010,PG,2,5,1
79,Alice Through the Looking Glass,2016,PG,1,4,1
80,Alien: Covenant,2017,R,5,9,8
81,Alien Resurrection,1997,R,5,9,8
82,Aliens in the Attic,2009,PG,3,4,3
83,Aliens of the Deep,2005,G,1,1,0
84,Alien: The Director’s Cut,1979,R,3,8,5
85,Alien 3,1992,R,2,8,7
86,Alien Vs. Predator,2004,PG-13,0,8,5
87,Alita: Battle Angel,2019,PG-13,1,7,5
88,Alive,1993,R,0,7,6
89,All About Eve,1950,NR,1,1,1
90,All About My Mother,1999,R,6,3,6
91,All About Steve,2009,PG-13,5,4,4
92,All About the Benjamins,2002,R,4,7,10
93,All Day and a Night,2020,R,6,7,10
94,All Dogs Go to Heaven II,1996,G,0,2,0
95,All Eyez on Me,2017,R,7,7,10
96,Allied,2016,R,6,7,6
97,All Is Lost,2013,PG-13,0,4,5
98,All Saints,2017,PG,1,3,2
99,All the King’s Men,2006,PG-13,4,5,4
