Anuel AA,Emmanuel,Hasta Que Dios Diga,1/22/23 1:02
Chris Jedi,DURO,DURO,1/22/23 0:59
6ix9ine,DUMMY BOY,MALA,1/22/23 0:55
Foreign Teck,EL NENE,EL NENE,1/22/23 0:52
Anuel AA,Amanece,Amanece,1/22/23 0:45
Anuel AA,LLNM2,La Máquina,1/22/23 0:40
Chris Jedi,La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),1/22/23 0:36
Karol G,SEJODIOTO,SEJODIOTO,1/22/23 0:32
Karol G,GATÚBELA,GATÚBELA,1/22/23 0:30
Bad Bunny,YHLQMDLG,La Santa,1/22/23 0:24
Silvestre y La Naranja,ANIM4LES,Sos Todo Lo Que Está Bien,1/22/23 0:22
Latin mafia,Más humano,Más humano,1/22/23 0:19
Lagos,Clásicos,Mónaco,1/22/23 0:15
Rels B,A Mí,A Mí,1/22/23 0:12
Anuel AA,¿Qué Nos Pasó?,¿Qué Nos Pasó?,1/22/23 0:08
Tory Lanez,Alone at Prom,Hurt from Mercury,1/21/23 23:47
Tory Lanez,Alone at Prom,Hurt from Mercury,1/21/23 23:46
Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),1/21/23 23:44
Belly,IMMIGRANT,Xion,1/21/23 23:38
Gunna,DS4EVER,pushin P (feat. Young Thug),1/21/23 23:38
calabasas,First Time Thing,First Time Thing,1/21/23 23:36
Russ,PUT YOU ON GAME,PUT YOU ON GAME,1/21/23 23:34
Tory Lanez,Alone at Prom,Pluto’s Last Comet,1/21/23 23:28
Jack Harlow,First Class,First Class,1/21/23 23:25
Page,I'm Still Fly (feat. Drake),I'm Still Fly feat. Drake - Dirty,1/21/23 23:21
Future,EVOL,Low Life (feat. The Weeknd),1/21/23 22:15
Latto,Big Energy (feat. DJ Khaled) [Remix],Big Energy (feat. DJ Khaled) - Remix,1/21/23 22:12
Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,1/21/23 22:09
KYLE,Carefree,Carefree,1/21/23 22:06
Aminé,TWOPOINTFIVE,Charmander,1/21/23 22:03
Megan Thee Stallion,Sweetest Pie,Sweetest Pie,1/21/23 22:00
Fivio Foreign,City of Gods,City of Gods,1/21/23 21:56
Gunna,DS4EVER,pushin P (feat. Young Thug),1/21/23 21:53
2 Chainz,Dope Don't Sell Itself,Million Dollars Worth of Game (feat. 42 Dugg),1/21/23 21:47
Nicki Minaj,Do We Have A Problem?,Do We Have A Problem?,1/21/23 21:43
Tory Lanez,Alone at Prom,‘87 Stingray,1/21/23 21:41
Jack Harlow,Thats What They All Say,Already Best Friends (feat. Chris Brown),1/21/23 21:40
Tyga,Freaky Deaky,Freaky Deaky,1/21/23 21:37
Russ,HANDSOMER,Handsomer,1/21/23 21:33
Jack Harlow,Nail Tech,Nail Tech,1/21/23 21:31
Lil Baby,It's Only Me,Real Spill,1/21/23 21:23
Nas,One Mic One Gun,One Mic One Gun,1/21/23 21:23
Lil Tecca,Blessing,Blessing,1/21/23 21:20
Young Dolph,Get Away,Get Away,1/21/23 21:18
Coi Leray,Players,Players,1/21/23 21:15
MoneyBagg Yo,On Wat U On (with GloRilla),On Wat U On (with GloRilla),1/21/23 21:10
Peezy,Only Built 4 Diamond Links,2 Million Up,1/21/23 21:07
Roddy Ricch,Twin (feat. Lil Durk),Twin (feat. Lil Durk),1/21/23 21:05
A Boogie wit da Hoodie,Me vs. Myself,Water (Drowning Pt. 2) [feat. Kodak Black],1/21/23 21:01
Drake,Her Loss,Pussy & Millions (feat. Travis Scott),1/21/23 20:57
Quavo,Only Built For Infinity Links,To The Bone (feat. YoungBoy Never Broke Again),1/21/23 20:53
Ice Spice,Like..?,Gangsta Boo (with Lil Tjay),1/21/23 20:50
Trippie Redd,MANSION MUSIK,KNIGHT CRAWLER (feat. Juice WRLD),1/21/23 20:47
Lil Durk,Hanging With Wolves,Hanging With Wolves,1/21/23 20:43
SoFaygo,PINK HEARTZ,Hell Yeah,1/21/23 20:41
Lil Uzi Vert,Just Wanna Rock,Just Wanna Rock,1/21/23 20:39
Polo G,My All,My All,1/21/23 20:35
MoneyBagg Yo,Quickie,Quickie,1/21/23 20:32
NLE Choppa,23,23,1/21/23 20:28
Metro Boomin,Heroes & Villains,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],1/21/23 20:24
Lil Durk,Lil Durk Presents: Loyal Bros 2,Mad Max,1/21/23 20:21
Trippie Redd,MANSION MUSIK,FULLY LOADED (feat. Future & Lil Baby),1/21/23 20:21
Metro Boomin,Heroes & Villains,Too Many Nights (feat. Don Toliver & with Future),1/21/23 20:15
A$AP Rocky,SAME PROBLEMS?,SAME PROBLEMS?,1/21/23 20:11
Gucci Mane,King Snipe,King Snipe,1/21/23 20:11
Drake,Her Loss,Rich Flex,1/21/23 20:03
Metro Boomin,Heroes & Villains,Superhero (Heroes & Villains) [with Future & Chris Brown],1/21/23 20:00
Trippie Redd,MANSION MUSIK,DARK BROTHERHOOD (feat. Lil Baby),1/21/23 19:56
Libianca,People,People,1/21/23 19:51
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),1/21/23 19:48
Manuel Turizo,La Bachata,La Bachata,1/21/23 19:44
Drake,Her Loss,Rich Flex,1/21/23 19:35
Oliver Tree,Miss You,Miss You,1/21/23 19:31
OneRepublic,I Ain’t Worried (Music from the Motion Picture Top Gun: Maverick),I Ain't Worried,1/21/23 19:28
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),1/21/23 19:25
Lil Uzi Vert,Just Wanna Rock,Just Wanna Rock,1/21/23 19:23
SZA,Shirt,Shirt,1/21/23 19:20
Harry Styles,Harry's House,Late Night Talking,1/21/23 19:17
Sabrina Carpenter,emails i can't send,Nonsense,1/21/23 19:14
NewJeans,Ditto,Ditto,1/21/23 19:11
Taylor Swift,Midnights,Lavender Haze,1/21/23 19:07
Meghan Trainor,Takin' It Back,Made You Look,1/21/23 18:50
Tiësto,10:35,10:35,1/21/23 18:48
Metro Boomin,Heroes & Villains,Superhero (Heroes & Villains) [with Future & Chris Brown],1/21/23 18:45
