location_id,location_name,location_tupe,radius,address,city,state,zip_5,zip_4,latitude,longitude,phone,parking
1433785,JAMES A FARLEY,po,100,421 8TH AVE,NEW YORK,NY,10001,9998,40.751624,-73.995972,2123303296,NONE
1459420,GREELEY SQUARE,po,100,4 E 27TH ST,NEW YORK,NY,10001,9994,40.743728,-73.987391,2126832510,STREET
1444233,CENTRALIZED PARCEL POST,po,100,341 9TH AVE BSMT BB30,NEW YORK,NY,10199,9793,40.750909,-74.000124,2123302510,NONE
1370834,LONDON TERRACE,po,100,234 10TH AVE,NEW YORK,NY,10011,9993,40.748036,-74.00354,2122553541,NONE
1373016,MIDTOWN,po,100,223 W 38TH ST,NEW YORK,NY,10018,9998,40.754207,-73.989903,2128199604,STREET
1432987,RCU ANNEX,po,100,340 W 42ND ST FL 3,NEW YORK,NY,10036,9992,40.757697,-73.991953,2125020421,NONE
1384689,TIMES SQUARE,po,100,340 W 42ND ST FL 2,NEW YORK,NY,10036,9998,40.757708,-73.991946,2125020424,NONE
1571974,PORT AUTHORITY CONVEN. NEW,po,100,625 8TH AVE SPC 110,NEW YORK,NY,10018,9994,40.756794,-73.9904689,2125020432,NONE
1433835,OLD CHELSEA,po,100,217 W 18TH ST,NEW YORK,NY,10011,9998,40.741678,-73.998815,2126750548,NONE
1546354,PORT AUTHORITY HIGH LINE,po,100,426A W 14TH ST,NEW YORK,NY,10014,9805,40.741306,-74.006982,2123303618,NONE
1356177,BRYANT,po,100,23 W 43RD ST,NEW YORK,NY,10036,9991,40.75481,-73.981562,2122795960,NONE
1374275,MURRAY HILL,po,100,115 E 34TH ST FRNT 1,NEW YORK,NY,10016,9991,40.74689,-73.98016,2126790730,STREET
1378686,RADIO CITY,po,100,322 W 52ND ST,NEW YORK,NY,10019,9998,40.763762,-73.986402,2122653672,NONE
1371388,MADISON SQUARE,po,100,149 E 23RD ST,NEW YORK,NY,10010,9998,40.739571,-73.983629,2126733771,NONE
1353209,APPRAISERS STORES,po,100,580 5TH AVE STE 407,NEW YORK,NY,10036,9994,40.756975,-73.9788289,2127680435,STREET
1376925,PATCHIN,po,100,70 W 10TH ST,NEW YORK,NY,10011,9991,40.734581,-73.9985179,2124752534,NONE
1374277,MURRAY HILL ANNEX,po,100,205 E 36TH ST,NEW YORK,NY,10016,9998,40.746958,-73.976428,2125450836,NONE
1569034,ROCKEFELLER CENTER,po,100,40 W 51ST ST,NEW YORK,NY,10020,9993,40.759781,-73.978828,2122653855,NONE
1387230,WEST VILLAGE,po,100,527 HUDSON ST FRNT A,NEW YORK,NY,10014,9992,40.734145,-74.006569,2129895084,NONE
1365295,GRAND CENTRAL,po,100,450 LEXINGTON AVE FL 2,NEW YORK,NY,10017,9998,40.753307,-73.974735,2123305724,STREET
1359178,COOPER,po,100,93 4TH AVE,NEW YORK,NY,10003,9998,40.732074,-73.989876,2122541390,STREET
1385561,UPTOWN,po,100,57 14TH ST,HOBOKEN,NJ,07030,9992,40.752981,-74.0254559,2014590405,STREET
1450958,TUDOR CITY SSP,po,100,5 TUDOR CITY PL FRNT 4,NEW YORK,NY,10017,9991,40.747966,-73.970874,NA,NONE
1358799,COLUMBUS CIRCLE,po,100,27 W 60TH ST,NEW YORK,NY,10023,9991,40.76961,-73.9833319,2122657858,NONE
1464314,PETER STUYVESANT,po,100,335 E 14TH ST,NEW YORK,NY,10009,9997,40.731874,-73.9831059,2122288413,NONE
1385988,VILLAGE,po,100,201 VARICK ST FRNT 1,NEW YORK,NY,10014,9998,40.728091,-74.005759,2126450327,NONE
1386547,WASHINGTON STREET,po,100,734 WASHINGTON ST STE A,HOBOKEN,NJ,07030,9993,40.745801,-74.0285969,2014590117,STREET
1363995,FDR STATION,po,100,909 3RD AVE OFC,NEW YORK,NY,10022,9998,40.758396,-73.968053,2123305508,STREET
