page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
1,1,Key Glock,Son of a Gun,Rap,Dean Van Nguyen,17 hrs ago,No,https://media.pitchfork.com/photos/5ee8f5b8a9d0807aa56836c1/1:1/w_160/Son%20Of%20A%20Gun_Key%20Glock.jpg,/reviews/albums/key-glock-son-of-a-gun/
1,2,Roy Ayers,Roy Ayers JID 002,Jazz,Dean Van Nguyen,17 hrs ago,No,https://media.pitchfork.com/photos/5ee909eea9d0807aa5683765/1:1/w_160/Roy%20Ayers%20JID%20002_Adrian%20Younge,%20Ali%20Shaheed%20Muhammad%20&%20Roy%20Ayers.jpg
1,3,The Koreatown Oddity,Little Dominiques Nosebleed,Rap,Stephen Kearse,17 hrs ago,No,https://media.pitchfork.com/photos/5ef0c68e7bb7acb328d56dfd/1:1/w_160/Little%20Dominques%20Nosebleed_The%20Koreatown%20Oddity.jpg,/reviews/albums/the-koreatown-oddity-little-dominiques-nosebleed/
1,4,Key!,I Love You Say It Back,Rap,Dani Blum ,June 17 2020,No,https://media.pitchfork.com/photos/5ee7a5498813ffa92664db9a/1:1/w_160/%20I%20Love%20You%20Say%20It%20Back_Key!.jpg,/reviews/albums/key-i-love-you-say-it-back/
1,5,Wiley,The Godfather 3,Rap,Will Pritchard,June 16 2020,No,https://media.pitchfork.com/photos/5ee7957a464fe661509a9cd9/1:1/w_160/The%20Godfather%203_Wiley.jpg,/reviews/albums/wiley-the-godfather-3/
1,6,Drakeo the Ruler,Thank You For Using GTL,Rap,Matthew Ismael Ruiz,June 10 2020,Yes,https://media.pitchfork.com/photos/5ede5dc0fd5cd0dd694067c2/1:1/w_160/Thank%20You%20For%20Using%20GTL_Drakeo%20The%20Ruler.jpg,/reviews/albums/drakeo-the-ruler-thank-you-for-using-gtl/
1,7,Armand Hammer,Shrines,Rap,Paul A. Thompson,June 10 2020,No,https://media.pitchfork.com/photos/5ede60a19bcc962f72cc0d2a/1:1/w_160/Shrines_Armand%20Hammer.jpg,/reviews/albums/armand-hammer-shrines/
1,8,Sleepy Hallow,Sleepy for President,Rap,Alphonse Pierre,June 10 2020,No,https://media.pitchfork.com/photos/5ede698fdad4216f71c678b6/1:1/w_160/Sleepy%20For%20President_Sleepy%20Hallow.jpg,/reviews/albums/sleepy-hallow-sleepy-for-president/
1,9,Run the Jewels,RTJ4,Rap,Sheldon Pearce,June 5 2020,Yes,https://media.pitchfork.com/photos/5ed815b29bcc962f72cc0bc5/1:1/w_160/RTJ4_Run%20the%20Jewels.jpg,/reviews/albums/run-the-jewels-rtj4/
1,10,Freddie Gibbs,Alfredo,Rap,Matthew Ismael Ruiz,June 3 2020,No,https://media.pitchfork.com/photos/5ed56eb59bcc962f72cc0b57/1:1/w_160/Alfredo_Freddie%20Gibbs%20and%20The%20Alchemist.jpg,/reviews/albums/freddie-gibbs-the-alchemist-alfredo/
1,11,Fabolous,Ghetto Fabolous,Rap,Alphonse Pierre,May 31 2020,No,https://media.pitchfork.com/photos/5ecd49ac91dbebb858d7ecee/1:1/w_160/Ghetto%20Fabolous_Fabolous.jpg,/reviews/albums/fabolous-ghetto-fabolous/
1,12,El Alfa,El Androide,Rap,Matthew Ismael Ruiz,May 30 2020,No,https://media.pitchfork.com/photos/5ed02b151628a7bc78de1a77/1:1/w_160/El%20Androide_El%20Alfa.jpg,/reviews/albums/el-alfa-el-androide/
2,1,Medhane,Cold Water,Rap,Sheldon Pearce,May 28 2020,Yes,https://media.pitchfork.com/photos/5ec3ef56caddbe3e3b13ab74/1:1/w_160/Medhane.jpg,/reviews/albums/medhane-cold-water/
2,2,Gunna,WUNNA,Rap,Alphonse Pierre,May 28 2020,No,https://media.pitchfork.com/photos/5ecd43d11ed2d15ae8658231/1:1/w_160/Wunna_Gunna.jpg,/reviews/albums/gunna-wunna/
2,3,Future,High Off Life,Rap,Mehan Jayasuriya,May 23 2020,No,https://media.pitchfork.com/photos/5ec538fbfcb5f329163e058a/1:1/w_160/High%20Off%20Life_Future.jpg,/reviews/albums/future-high-off-life/
2,4,Polo G,The Goat,Rap,Paul A. Thompson,May 21 2020,No,https://media.pitchfork.com/photos/5ebdb1c0d7b4ffbd26509b25/1:1/w_160/The%20Goat_Polo%20G.jpg,/reviews/albums/polo-g-the-goat/
2,5,Yung Lean,Starz,Rap,Sheldon Pearce,May 21 2020,No,https://media.pitchfork.com/photos/5ebd883da994f4606de32ad4/1:1/w_160/Starz_Yung%20Lean.jpg,/reviews/albums/yung-lean-starz/
2,6,Bad Bunny,LAS QUE NO IBAN A SALIR,Rap,Matthew Ismael Ruiz,May 16 2020,No,https://media.pitchfork.com/photos/5eb9bc908b87698b3b0b9e03/1:1/w_160/LAS%20QUE%20NO%20IBAN%20A%20SALIR_Bad%20Bunny.jpg,/reviews/albums/bad-bunny-las-que-no-iban-a-salir/
2,7,Bishop Nehru,Nehruvia: My Disregarded Thoughts,Rap,Sheldon Pearce,May 16 2020,No,https://media.pitchfork.com/photos/5eb9b7c4a994f4606de32794/1:1/w_160/Nehruvia-My%20Disregarded%20Thoughts_Bishop%20Nehru.jpg,/reviews/albums/bishop-nehru-nehruvia-my-disregarded-thoughts/
2,8,Sheff G,One and Only,Rap,Evan Rytlewski,May 15 2020,No,https://media.pitchfork.com/photos/5eb9b66b8b87698b3b0b9dfe/1:1/w_160/One%20and%20Only_Sheff%20G.jpg,/reviews/albums/sheff-g-one-and-only/
2,9,Lil Tjay,State Of Emergency,Rap,Dean Van Nguyen,May 15 2020,No,https://media.pitchfork.com/photos/5eb97898e5423e84f420e76a/1:1/w_160/State%20Of%20Emergency_Lil%20Tjay.jpg,/reviews/albums/lil-tjay-state-of-emergency/
